project_flux_id,datetime_start,datetime_end,total_CH4_flux_first_last_mgC_m2_d,total_CH4_flux_robust_5pt_mgC_m2_d,total_CH4_flux_lm_raw_mgC_m2_d,total_CH4_flux_huber_mgC_m2_d,total_CH4_flux_used_for_partition_mgC_m2_d,total_CH4_flux_method_used_for_partition,diffusive_flux_mgC_m2_d,diffusive_flux_median_raw,diffusive_flux_was_capped_to_total,r2_best_window,n_top_windows_used,top_k_requested,ebullitive_lm_raw_mgC_m2_d,deployment_duration_sec,jump_iqr_k,jump_threshold_pos_ppm_min,jump_threshold_neg_ppm_min,n_candidate_diffusive_windows,site,reservoir,FB_TR,datetime_start.y,datetime_end.y,r2_lm_total,adj_r2_lm_total,pseudo_r2_huber_total,slope_lm_total,slope_se_lm_total,slope_p_lm_total,slope_sig_lm_total
274,2024-03-22 11:06:00,2024-03-22 12:29:00,-58.83331219,-74.01152174,-15.50963017,-92.17738704,-91.68849834,lm,-18.33392134,-18.33392134,FALSE,0.993286099,5,5,0,4980,1.5,1.32620472,-2.360191695,127,DLFB,DL,FB,3/22/2024 11:06,3/22/2024 12:29,0.899478981,0.898253115,0.899444367,-0.011058792,0.000408257,1.14464224199526e-42,TRUE
278,2024-03-22 14:57:00,2024-03-22 15:54:00,4.818449886,1.766353149,0.000248479,-2.591033226,-1.924806699,lm,-2.441942815,-2.441942815,FALSE,0.616779977,5,5,0.000248479,3420,1.5,0.722962244,-0.64083591,75,DLTR,DL,TR,3/22/2024 14:57,3/22/2024 15:54,0.116791607,0.101020028,0.097770325,-0.000237527,8.72861321052896e-05,0.00865003,TRUE
422,2024-07-09 09:32:00,2024-07-09 10:18:00,14.47812064,6.051165259,4.031930414,-10.84153232,-2.130605239,lm,-9.541329907,-9.541329907,FALSE,0.923111128,5,5,NA,2760,1.5,0.776349938,-0.653892872,53,DLFB,DL,FB,7/9/2024 9:32,7/9/2024 10:18,0.014246023,-0.007659621,-0.315720281,-0.000275998,0.000342245,0.424234226,FALSE
426,2024-07-09 11:15:00,2024-07-09 12:10:00,4.431416177,1.806819313,15.57424441,-1.772705396,-0.298764504,lm,-4.028017512,-4.028017512,FALSE,0.983272932,5,5,10.91362512,3300,1.5,0.394044845,-0.316722345,71,DLTR,DL,TR,7/9/2024 11:15,7/9/2024 12:10,0.005047344,-0.013377705,-0.163396208,-3.96E-05,7.56873136208482e-05,0.602842792,FALSE
430,2024-07-15 11:58:00,2024-07-15 12:54:00,6.058904279,2.954920893,0.458074402,0.349423018,1.62003385,lm,0.995082208,0.995082208,FALSE,0.288212289,5,5,0.194842927,3360,1.5,0.362652511,-0.258190636,38,DTFB,DT,FB,7/15/2024 11:58,7/15/2024 12:54,0.204114057,0.189643403,0.032210254,0.000211509,5.63165085218142e-05,0.00041911,TRUE
434,2024-07-16 12:20:00,2024-07-16 13:46:00,6.403192886,4.821210065,-24.37932394,2.208385331,2.884049621,lm,0.470830985,0.470830985,FALSE,0.869241534,1,5,0,5160,1.5,0.150611601,-0.098134213,1,CGFB,CG,FB,7/16/2024 12:20,7/16/2024 13:46,0.629064152,0.62464825,0.576737663,0.000386065,3.23461921544799e-05,8.84668668934225e-20,TRUE
437,2024-09-16 12:21:00,2024-09-16 13:12:00,-0.793301509,-3.361105606,-3.772520499,-3.989745677,-3.772520499,lm,0.698510634,0.698510634,FALSE,0.636944615,3,5,0,3060,1.5,0.113691336,-0.146310337,3,DTFB,DT,FB,9/16/2024 12:21,9/16/2024 13:12,0.760884048,0.756101729,0.757202199,-0.000469128,3.71921936332199e-05,3.73465503790169e-17,TRUE
440,2024-09-16 15:32:00,2024-09-16 16:33:00,0.382131967,-0.648279373,-0.330929991,-0.372436981,-0.330929991,lm,-0.327168778,-0.327168778,FALSE,0.820893555,5,5,0,3660,1.5,0.038383886,-0.063973144,27,DTFB,DT,FB,9/16/2024 15:32,9/16/2024 16:33,0.131007797,0.116524594,0.1280068,-4.11E-05,1.36773529768452e-05,0.003843792,TRUE
443,2024-09-17 12:14:00,2024-09-17 13:58:00,-1.689008066,-2.195169395,-1.598267963,-1.598267963,-1.598267963,lm,6.154541012,6.154541012,FALSE,0.999237881,5,5,0,6240,1.5,0.18237025,-0.189859882,58,CGFB,CG,FB,9/17/2024 12:14,9/17/2024 13:58,0.232284386,0.224757762,0.232284386,-0.000202061,3.63725343845919e-05,2.21779224994763e-07,TRUE
446,2024-09-18 09:40:00,2024-09-18 10:34:00,22.55876124,22.84460173,23.65602303,23.68686806,23.65602303,lm,2.266438152,2.266438152,FALSE,0.968249456,5,5,21.38958488,3240,1.5,0.810692001,-0.486415201,52,BVFB,BV,FB,9/18/2024 9:40,9/18/2024 10:34,0.812668115,0.809133551,0.812663856,0.00295804,0.000195081,6.3856475404195e-21,TRUE
