,project_flux_id,datetime_start,datetime_end,chamber,total.CH4.flux.mg.C.m2.d,ebullitive_flux_mg_c_m2_d,diffusive_flux_combined,weighted_r2_combined,diffusive_flux_beforebubble,r2_beforebubble,n_diffusive_beforebubble,diffusive_flux_afterbubble,r2_afterbubble,n_diffusive_afterbubble,n_bubble_points,CO2.flux.mg.C.m2.d,R2.CO2,g_slope,S_intercept,b_coeff,c_coeff,K_coeff,site,reservoir,FB_TR,notes
as.numeric(datetime),106,5/8/23 2:46 PM,5/8/23 3:12 PM,8,15.25464061,0,15.25464061,0.894094835,15.25464061,0.894094835,26,NA,NA,0,0,374.4165268,0.886859816,-22.57649,0,-0.2338,0.2075,-172.7635,BVTR,BV,TR,
as.numeric(datetime)1,118,5/11/23 12:04 PM,5/11/23 2:55 PM,8,2.394565134,0,2.394565134,0.802154736,2.394565134,0.802154736,171,NA,NA,0,0,-55.25819407,0.845646362,-22.57649,0,-0.2338,0.2075,-172.7635,CGFB,CG,FB,
as.numeric(datetime)2,122,5/12/23 10:01 AM,5/12/23 1:03 PM,8,3.124006805,0,3.124006805,0.833841539,3.124006805,0.833841539,181,NA,NA,0,0,-136.952146,0.847472497,-22.57649,0,-0.2338,0.2075,-172.7635,DTFB,DT,FB,
as.numeric(datetime)3,129,6/15/23 10:28 AM,6/15/23 1:04 PM,8,2.332716414,0,2.332716414,0.63259899,2.332716414,0.63259899,156,NA,NA,0,0,-18.27694807,0.939135532,-22.57649,0,-0.2338,0.2075,-172.7635,DTFB,DT,FB,
as.numeric(datetime)4,162,9/11/23 10:08 AM,9/11/23 10:53 AM,8,9.24724199,0,9.24724199,0.798148217,9.24724199,0.798148217,46,NA,NA,0,0,-194.8605715,0.958671597,-22.57649,0,-0.2338,0.2075,-172.7635,BVFB,BV,FB,
as.numeric(datetime)5,164,9/11/23 12:45 PM,9/11/23 1:28 PM,8,8.4711617,0,8.4711617,0.347054091,8.4711617,0.347054091,44,NA,NA,0,0,-335.0467098,0.855541866,-22.57649,0,-0.2338,0.2075,-172.7635,BVTR,BV,TR,
as.numeric(datetime)6,174,9/12/23 11:10 AM,9/12/23 11:36 AM,8,32.25072896,0,32.25072896,0.875259408,32.25072896,0.875259408,27,NA,NA,0,0,111.3778868,0.889263672,-22.57649,0,-0.2338,0.2075,-172.7635,DLFB,DL,FB,
as.numeric(datetime)7,178,9/12/23 1:05 PM,9/12/23 1:57 PM,8,16.37143212,0,16.37143212,0.674988974,16.37143212,0.674988974,53,NA,NA,0,0,42.21935457,0.681473823,-22.57649,0,-0.2338,0.2075,-172.7635,DLTR,DL,TR,
as.numeric(datetime)8,185,9/15/23 10:23 AM,9/15/23 4:08 PM,8,4.03104169,0,4.03104169,0.525344166,4.03104169,0.525344166,322,NA,NA,0,0,-354.8608785,0.586732301,-22.57649,0,-0.2338,0.2075,-172.7635,DTFB,DT,FB,
as.numeric(datetime)9,225,1/22/24 11:11 AM,1/22/24 12:13 PM,8,0.10850466,0,0.10850466,0.004007014,0.10850466,0.004007014,62,NA,NA,0,0,-78.66395835,0.775064845,-22.57649,0,-0.2338,0.2075,-172.7635,DLFB,DL,FB,
as.numeric(datetime)10,228,1/22/24 1:52 PM,1/22/24 3:10 PM,8,0.106106294,0,0.106106294,0.174391328,0.106106294,0.174391328,78,NA,NA,0,0,0.831726036,0.009228472,-22.57649,0,-0.2338,0.2075,-172.7635,DLTR,DL,TR,
as.numeric(datetime)11,233,1/24/24 10:16 AM,1/24/24 10:53 AM,8,5.973473996,0,5.973473996,0.971882775,5.973473996,0.971882775,37,NA,NA,0,0,23.61600804,0.541370124,-22.57649,0,-0.2338,0.2075,-172.7635,CGFB,CG,FB,
as.numeric(datetime)12,236,1/24/24 11:17 AM,1/24/24 12:46 PM,8,1.579973997,0,1.579973997,0.379107252,1.579973997,0.379107252,89,NA,NA,0,0,5.82188938,0.204921278,-22.57649,0,-0.2338,0.2075,-172.7635,CGFB,CG,FB,
as.numeric(datetime)13,241,1/25/24 10:34 AM,1/25/24 12:00 PM,8,0.14993288,0,0.14993288,0.328487246,0.14993288,0.328487246,86,NA,NA,0,0,-5.628613158,0.314650343,-22.57649,0,-0.2338,0.2075,-172.7635,DTFB,DT,FB,
as.numeric(datetime)14,245,1/29/24 9:37 AM,1/29/24 10:24 AM,8,4.203686631,0,4.203686631,0.447358882,4.203686631,0.447358882,48,NA,NA,0,0,161.9796662,0.17340102,-22.57649,0,-0.2338,0.2075,-172.7635,BVFB,BV,FB,
as.numeric(datetime)15,249,1/29/24 12:44 PM,1/29/24 1:30 PM,8,0,0,NA,NA,-1.079737767,0.030236279,47,NA,NA,0,0,17.69906716,0.289556354,-22.57649,0,-0.2338,0.2075,-172.7635,BVTR,BV,TR,
as.numeric(datetime)16,452,9/22/24 10:46 AM,9/22/24 11:56 AM,8,12.04241157,0,12.04241157,0.679854174,12.04241157,0.679854174,70,NA,NA,0,0,-12.69019566,0.041039214,-22.57649,0,-0.2338,0.2075,-172.7635,DLFB,DL,FB,
as.numeric(datetime)17,456,9/22/24 1:12 PM,9/22/24 2:16 PM,8,6.228019275,0,6.228019275,0.290143051,6.228019275,0.290143051,64,NA,NA,0,0,-33.88445272,0.157783825,-22.57649,0,-0.2338,0.2075,-172.7635,DLTR,DL,TR,
