project_flux_id,datetime_start,datetime_end,total_CH4_flux_lm_raw_mgC_m2_d,diffusive_flux_mgC_m2_d,r2_best_window,ebullitive_lm_raw_mgC_m2_d,deployment_duration_sec,jump_iqr_k,jump_threshold_pos_ppm_min,jump_threshold_neg_ppm_min,site,reservoir,FB_TR,r2_lm_total,adj_r2_lm_total,slope_lm_total,slope_se_lm_total,slope_p_lm_total,,early_peak_flag
1,11/7/2022 10:26,11/7/2022 11:20,9.607434387,8.978136881,0.977242313,0.629297506,3240,1.5,0.379669086,-0.227529817,BNFB,BN,FB,0.937194044,0.936009026,0.001147014,4.07864833590016e-05,1.57882246630243e-33,,FALSE
9,11/9/2022 13:38,11/9/2022 15:53,5.325169371,2.957435526,0.961815965,2.367733845,8100,1.5,0.150941581,-0.10648816,CGFB,CG,FB,0.821390959,0.820058056,0.000647707,2.60917507459235e-05,5.71664340782539e-52,,FALSE
21,11/10/2022 10:35,11/10/2022 13:28,0.172226715,0.172226715,0.558600953,0,10380,1.5,0.062894929,-0.069638346,DTFB,DT,FB,0.011069511,0.005319915,2.18217473142801e-05,1.57269301964148e-05,0.167072166,,FALSE
25,11/10/2022 15:35,11/10/2022 16:01,4.696230922,1.673007837,0.408472018,3.023223085,1560,1.5,0.325969549,-0.197363893,DTTR,DT,TR,0.788294803,0.779826595,0.000560168,5.80589847376892e-05,6.57207854777912e-10,,FALSE
13,11/11/2022 10:42,11/11/2022 11:08,-3.11424248,-3.609192817,0.819724971,0,1560,1.5,0.246449029,-0.287812084,DLFB,DL,FB,0.741651997,0.731318077,-0.000367164,4.33403090279294e-05,8.14041070733704e-09,,TRUE
17,11/11/2022 14:46,11/11/2022 15:42,8.246405665,0.172839982,0.929916829,8.073565682,3360,1.5,0.215825995,-0.133316556,DLTR,DL,TR,0.595684394,0.588333201,0.000978225,0.00010867,2.09922640328479e-12,,FALSE
29,1/9/2023 12:55,1/9/2023 13:34,2.831459366,NA,NA,NA,2340,1.5,0.109412716,-0.065457954,DLFB,DL,FB,0.594834675,0.58417243,0.000336758,4.50862223402324e-05,5.75290899821452e-09,,FALSE
32,1/11/2023 11:19,1/11/2023 14:08,0.303536596,0.303536596,0.734769841,0,10140,1.5,0.222468103,-0.224479712,DTFB,DT,FB,0.10973102,0.104166838,3.58376035375907e-05,8.07002505390184e-06,1.66410717431192e-05,,FALSE
33,1/12/2023 12:17,1/12/2023 14:23,0.292348768,0.001408041,0.003180641,0.290940727,7560,1.5,0.001734711,-0.001622314,CGFB,CG,FB,0.552537484,0.548957783,3.48977475404831e-05,2.80892308715994e-06,1.41579256301352e-23,,FALSE
34,1/13/2023 11:04,1/13/2023 11:58,3.912628542,NA,NA,NA,3240,1.5,0.1241081,-0.074646046,BNFB,BN,FB,0.964690731,0.964024519,0.000463433,1.21786486970314e-05,3.66709521985557e-40,,FALSE
64,3/8/2023 10:28,3/8/2023 11:58,-0.512490063,1.608833573,0.918464556,0,5400,1.5,0.174589811,-0.183734949,CGFB,CG,FB,0.258852182,0.250524679,-6.24E-05,1.11844981856478e-05,2.6152780910521e-07,,FALSE
66,3/10/2023 9:36,3/10/2023 10:06,-13.99603552,-10.08871587,0.896282209,0,1800,1.5,0.291346564,-0.486198072,BVFB,BV,FB,0.833594131,0.827855997,-0.001654047,0.000137232,8.1416012453295e-13,,TRUE
102,5/8/2023 14:45,5/8/2023 15:12,-1.14300787,-5.538188057,0.956919171,0,1620,1.5,0.168405507,-0.178548662,BVTR,BV,TR,0.091069863,0.056111012,-0.000143218,8.87335616144308e-05,0.118595884,,TRUE
115,5/11/2023 12:04,5/11/2023 14:55,0.283810051,0.283810051,0.979070857,0,10260,1.5,0.08244023,-0.078537821,CGFB,CG,FB,0.151811198,0.146821852,3.70400182536887e-05,6.71492388869431e-06,1.27106422810141e-07,,FALSE
119,5/12/2023 10:01,5/12/2023 13:02,-0.446307548,-6.373002216,0.996479104,0,10860,1.5,0.135643396,-0.144386896,DTFB,DT,FB,0.115850499,0.110938558,-5.73E-05,1.18081122870511e-05,2.58487317201287e-06,,FALSE
152,8/7/2023 10:59,8/7/2023 11:25,-0.027389628,NA,NA,0,1560,1.5,0.112314885,-0.129603367,BVFB,BV,FB,2.98490811904643e-05,-0.083300997,-3.49E-06,0.000184357,0.985211057,,FALSE
279,8/7/2023 19:00,8/7/2023 19:48,3.489678254,3.489678254,0.988520233,0,2880,1.5,0.094511281,-0.052841504,BVFB,BV,FB,0.870697025,0.865075157,0.000452295,3.63436853844907e-05,1.0650640058829e-11,,FALSE
280,8/7/2023 20:22,8/7/2023 21:14,6.163456773,6.102012635,0.993906387,0.061444137,3120,1.5,0.107642772,-0.0119894,BVFB,BV,FB,0.997719482,0.997628261,0.000763203,7.29764065269369e-06,1.49453626516204e-34,,FALSE
281,8/7/2023 23:14,8/8/2023 0:06,5.538093379,NA,NA,NA,3120,1.5,0.090858096,0.000157714,BVFB,BV,FB,0.992500139,0.992187645,0.000681889,1.20995629187387e-05,5.12222759464045e-27,,FALSE
282,8/8/2023 0:38,8/8/2023 1:32,7.987908655,NA,NA,NA,3240,1.5,0.095328741,0.027141569,BVFB,BV,FB,0.997140351,0.997030364,0.00098053,1.02979894660239e-05,1.3271556612274e-34,,FALSE
283,8/8/2023 2:06,8/8/2023 2:58,8.329192812,NA,NA,NA,3120,1.5,0.099876544,0.024797995,BVFB,BV,FB,0.994117197,0.993881885,0.001022454,1.57306697421112e-05,2.087459673534e-29,,FALSE
284,8/8/2023 3:30,8/8/2023 4:24,8.547244967,NA,NA,NA,3240,1.5,0.112653894,0.010679019,BVFB,BV,FB,0.996664757,0.996531347,0.001047594,1.21202718283934e-05,1.73138553358697e-32,,FALSE
285,8/8/2023 4:56,8/8/2023 5:40,9.25716541,9.25716541,0.997378272,0,2640,1.5,0.122919389,0.005869945,BVFB,BV,FB,0.997909843,0.997799835,0.001132498,1.18906167651482e-05,6.29450874030917e-27,,FALSE
286,8/8/2023 6:22,8/8/2023 7:16,6.77636788,NA,NA,NA,3240,1.5,0.084371521,0.009262113,BVFB,BV,FB,0.989601247,0.989201295,0.000831271,1.67115387481739e-05,2.58905797656823e-27,,FALSE
287,8/8/2023 7:48,8/8/2023 8:42,3.51016785,1.83072921,0.923590936,1.67943864,3240,1.5,0.094979353,-0.043851907,BVFB,BV,FB,0.930895008,0.928237124,0.000436232,2.33096459562009e-05,1.31312515385564e-16,,FALSE
289,8/8/2023 11:08,8/8/2023 11:34,3.205683815,NA,NA,NA,1560,1.5,0.054720009,-0.006494084,BVFB,BV,FB,0.976491601,0.974532568,0.000410615,1.83916752096616e-05,3.84655526770469e-11,,FALSE
290,8/8/2023 12:30,8/8/2023 13:00,1.733191482,1.733191482,0.997639637,0,1800,1.5,0.036459869,-0.010707039,BVFB,BV,FB,0.910324958,0.903919598,0.000223586,1.87550637376448e-05,1.01763310348121e-08,,FALSE
292,8/8/2023 16:59,8/8/2023 17:39,3.700537299,3.700537299,0.96890291,0,2400,1.5,0.102695605,-0.048627827,BVFB,BV,FB,0.966574835,0.964815616,0.000485485,2.07118310553214e-05,1.74670682323049e-15,,FALSE
293,8/8/2023 18:13,8/8/2023 19:05,4.029324105,4.029324105,0.994471344,0,3120,1.5,0.119519272,-0.056526617,BVFB,BV,FB,0.878683977,0.873831336,0.000527949,3.92342261894486e-05,5.93599707599602e-13,,FALSE
295,8/8/2023 21:02,8/8/2023 21:57,11.75525013,11.75525013,0.996659592,0,3300,1.5,0.160842615,0.012032726,BVFB,BV,FB,0.997848408,0.997765655,0.001453677,1.32381966541893e-05,3.28541976568885e-36,,FALSE
296,8/8/2023 22:28,8/8/2023 23:23,10.96446517,9.849482237,0.999622278,1.114982937,3300,1.5,0.158371096,0.011703839,BVFB,BV,FB,0.997057932,0.996944775,0.001354078,1.44252464973484e-05,1.92025165486465e-34,,FALSE
297,8/8/2023 23:54,8/9/2023 0:49,15.13473693,15.06063789,0.997623808,0.074099039,3300,1.5,0.22814732,-0.001210122,BVFB,BV,FB,0.99678971,0.996666237,0.001868281,2.07934238661885e-05,5.9703910437039e-34,,FALSE
298,8/9/2023 1:20,8/9/2023 2:09,17.76448904,17.76448904,0.998786614,0,2940,1.5,0.231082287,0.023893363,BVFB,BV,FB,0.997193636,0.997066074,0.0021878,2.47444953178906e-05,1.43198476836895e-29,,FALSE
299,8/9/2023 2:48,8/9/2023 3:43,17.32636315,17.32636315,0.998744656,0,3300,1.5,0.242528394,0.005960382,BVFB,BV,FB,0.99919916,0.999168358,0.002132524,1.18400700779102e-05,8.64046208717935e-42,,FALSE
300,8/9/2023 4:14,8/9/2023 5:09,16.6283265,16.6283265,0.998108504,0,3300,1.5,0.264829334,-0.0223713,BVFB,BV,FB,0.993273448,0.993014735,0.002041802,3.2952534418639e-05,8.97308121541449e-30,,FALSE
