project_flux_id,datetime_start,datetime_end,total_CH4_flux_lm_raw_mgC_m2_d,diffusive_flux_mgC_m2_d,ebullitive_lm_raw_mgC_m2_d,deployment_duration_sec,jump_iqr_k,jump_threshold_pos_ppm_min,jump_threshold_neg_ppm_min,site,reservoir,FB_TR,r2_lm_total,adj_r2_lm_total,slope_lm_total,slope_se_lm_total,slope_p_lm_total,early_peak_flag
12,11/9/2022 13:38,11/9/2022 15:53,-5.349863457,-1.254491599,0,8100,1.5,0.125017326,-0.120595301,CGFB,CG,FB,0.681963471,0.679590064,-0.000649885,3.83391293845674e-05,3.84750617743258e-35,TRUE
24,11/10/2022 10:35,11/10/2022 13:28,0.952749019,0.952749019,0,10380,1.5,0.285344068,-0.25313313,DTFB,DT,FB,0.11319951,0.108043693,0.000118916,2.53784752027048e-05,5.64814121781344e-06,FALSE
28,11/10/2022 15:35,11/10/2022 16:01,7.035916159,0.719565427,6.316350733,1560,1.5,0.175810022,-0.122660523,DTTR,DT,TR,0.7114308,0.699888032,0.000836945,0.000106607,3.30654057217378e-08,FALSE
16,11/11/2022 10:42,11/11/2022 11:08,2.046592045,0.842855518,1.203736527,1560,1.5,0.104702225,-0.077827745,DLFB,DL,FB,0.496272544,0.476123445,0.00024241,4.88448202992575e-05,4.10307161459126e-05,FALSE
20,11/11/2022 14:46,11/11/2022 15:42,-1.620115119,2.286368359,0,3360,1.5,0.094944842,-0.06494735,DLTR,DL,TR,0.233282111,0.219341785,-0.000192314,4.7011814955167e-05,0.000141601,TRUE
37,1/9/2023 12:52,1/9/2023 13:40,1.016378185,1.016378185,0,2880,1.5,0.092926291,-0.091809096,DLFB,DL,FB,0.30947499,0.294782969,0.000120962,2.63559342170822e-05,3.31899677137817e-05,FALSE
40,1/11/2023 11:19,1/11/2023 14:08,0.687237283,0.687237283,0,10140,1.5,0.175777974,-0.168015665,DTFB,DT,FB,0.475464463,0.472342228,8.10896948501845e-05,6.57112081875573e-06,2.56093487704418e-25,FALSE
41,1/12/2023 12:17,1/12/2023 14:23,-0.304839162,-2.855304252,0,7560,1.5,0.217627796,-0.217651291,CGFB,CG,FB,0.219642066,0.213399202,-3.63E-05,6.12574186051121e-06,2.74608972971929e-08,FALSE
42,1/13/2023 11:04,1/13/2023 11:58,-1.627211356,-1.118693512,0,3240,1.5,0.064288224,-0.096639836,BNFB,BN,FB,0.886770642,0.884634239,-0.000192686,9.45773062811695e-06,9.83467570290866e-27,TRUE
69,3/6/2023 12:06,3/6/2023 12:48,2.803432267,0.5776215,2.225810767,2520,1.5,0.193487982,-0.151548226,DLFB,DL,FB,0.818746543,0.814325727,0.00034364,2.52510809889754e-05,8.49151854552341e-17,FALSE
