project_flux_id,datetime_start,datetime_end,total_CH4_flux_lm_raw_mgC_m2_d,diffusive_flux_mgC_m2_d,r2_best_window,ebullitive_lm_raw_mgC_m2_d,diffusive_used_lm_raw_mgC_m2_d,deployment_duration_sec,jump_iqr_k,jump_threshold_pos_ppm_min,jump_threshold_neg_ppm_min,n_candidate_diffusive_windows,site,reservoir,FB_TR,r2_lm_total,adj_r2_lm_total,early_peak_flag
53,1/9/2023 12:52,1/9/2023 13:58,1.168682681,0.144128459,0.630037873,1.024554222,0.144128459,3960,1.5,0.041066671,-0.03186059,53,DLFB,DL,FB,0.780442942,0.777065141,FALSE
54,1/9/2023 14:32,1/9/2023 15:01,4.650359293,4.650359293,0.997195066,0,4.650359293,1740,1.5,0.085802292,-0.033253668,19,DLFB,DL,FB,0.963933164,0.962645063,FALSE
146,7/19/2023 9:46,7/19/2023 10:16,-0.053845037,-8.079108838,0.851444628,0,0,1800,1.5,0.028910553,-0.048184254,185,DLFB,DL,FB,0.000106707,-0.005327496,FALSE
147,7/19/2023 12:51,7/19/2023 13:34,2.188419435,1.14181939088299e-13,0.596330275,2.188419435,1.14181939088299e-13,2580,1.5,0.007687325,-0.004612395,48,DLTR,DL,TR,0.14683982,0.143583484,FALSE
181,9/15/2023 10:22,9/15/2023 16:08,-6.640172144,2.897907276,0.743841323,0,2.897907276,20760,1.5,7.081590181,-4.680394061,145,DTFB,DT,FB,0.146117161,0.137492082,TRUE
361,5/14/2024 13:34,5/14/2024 15:29,1.703317745,1.703317745,0.823636888,0,1.703317745,6900,1.5,0.210467865,-0.150303656,39,DTFB,DT,FB,0.612776763,0.609380068,FALSE
365,5/15/2024 11:41,5/15/2024 13:40,-3.19787849,-6.418266162,0.928965588,0,0,7140,1.5,0.279928432,-0.29868013,176,CGFB,CG,FB,0.733120964,0.730859277,TRUE
373,5/16/2024 12:43,5/16/2024 13:24,-7.211714915,-6.43136191,0.874564939,0,0,2460,1.5,0.469069993,-0.53830627,27,DLFB,DL,FB,0.156755661,0.135674553,TRUE
385,5/17/2024 12:51,5/17/2024 13:36,5.917258388,5.917258388,0.915592982,0,5.917258388,2700,1.5,0.661498783,-0.536954808,24,BVTR,BV,TR,0.409168727,0.395740743,FALSE
393,5/21/2024 10:31,5/21/2024 11:16,1.837045122,0.446177075,0.776925099,1.390868047,0.446177075,2700,1.5,0.092033106,-0.054251233,51,DLTR,DL,TR,0.874904568,0.87206149,FALSE
389,5/21/2024 12:03,5/21/2024 12:43,5.324438704,2.806131549,0.915418943,2.518307155,2.806131549,2400,1.5,0.22982223,-0.142403482,41,DLFB,DL,FB,0.800427773,0.795310537,FALSE
433,7/16/2024 12:20,7/16/2024 13:48,-0.421986201,-4.212661248,0.943758211,0,0,5280,1.5,0.366885528,-0.313297071,111,CGFB,CG,FB,0.006043195,-0.005514443,FALSE
