project_flux_id,datetime_start,datetime_end,total_CH4_flux_lm_raw_mgC_m2_d,diffusive_flux_mgC_m2_d,r2_best_window,ebullitive_lm_raw_mgC_m2_d,deployment_duration_sec,jump_iqr_k,jump_threshold_pos_ppm_min,jump_threshold_neg_ppm_min,site,reservoir,FB_TR,r2_lm_total,adj_r2_lm_total,slope_lm_total,slope_se_lm_total,slope_p_lm_total,early_peak_flag
274,3/22/2024 11:06,3/22/2024 12:29,-15.50963017,-18.33392134,0.993286099,0,4980,1.5,1.32620472,-2.360191695,DLFB,DL,FB,0.899478981,0.898253115,-0.011058792,0.000408257,1.14464224199526e-42,TRUE
278,3/22/2024 14:57,3/22/2024 15:54,0.000248479,-2.441942815,0.616779977,0.000248479,3420,1.5,0.722962244,-0.64083591,DLTR,DL,TR,0.116791607,0.101020028,-0.000237527,8.72861321052896e-05,0.00865003,FALSE
422,7/9/2024 9:32,7/9/2024 10:18,4.031930414,-9.541329907,0.923111128,NA,2760,1.5,0.776349938,-0.653892872,DLFB,DL,FB,0.014246023,-0.007659621,-0.000275998,0.000342245,0.424234226,FALSE
426,7/9/2024 11:15,7/9/2024 12:10,15.57424441,-4.028017512,0.983272932,10.91362512,3300,1.5,0.394044845,-0.316722345,DLTR,DL,TR,0.005047344,-0.013377705,-3.96E-05,7.56873136208482e-05,0.602842792,FALSE
430,7/15/2024 11:58,7/15/2024 12:54,0.458074402,0.995082208,0.288212289,0.194842927,3360,1.5,0.362652511,-0.258190636,DTFB,DT,FB,0.204114057,0.189643403,0.000211509,5.63165085218142e-05,0.00041911,FALSE
434,7/16/2024 12:20,7/16/2024 13:46,-24.37932394,0.470830985,0.869241534,0,5160,1.5,0.150611601,-0.098134213,CGFB,CG,FB,0.629064152,0.62464825,0.000386065,3.23461921544799e-05,8.84668668934225e-20,TRUE
437,9/16/2024 12:21,9/16/2024 13:12,-3.772520499,0.698510634,0.636944615,0,3060,1.5,0.113691336,-0.146310337,DTFB,DT,FB,0.760884048,0.756101729,-0.000469128,3.71921936332199e-05,3.73465503790169e-17,TRUE
440,9/16/2024 15:32,9/16/2024 16:33,-0.330929991,-0.327168778,0.820893555,0,3660,1.5,0.038383886,-0.063973144,DTFB,DT,FB,0.131007797,0.116524594,-4.11E-05,1.36773529768452e-05,0.003843792,FALSE
443,9/17/2024 12:14,9/17/2024 13:58,-1.598267963,6.154541012,0.999237881,0,6240,1.5,0.18237025,-0.189859882,CGFB,CG,FB,0.232284386,0.224757762,-0.000202061,3.63725343845919e-05,2.21779224994763e-07,TRUE
446,9/18/2024 9:40,9/18/2024 10:34,23.65602303,2.266438152,0.968249456,21.38958488,3240,1.5,0.810692001,-0.486415201,BVFB,BV,FB,0.812668115,0.809133551,0.00295804,0.000195081,6.3856475404195e-21,FALSE
449,9/18/2024 12:45,9/18/2024 13:34,7.471317517,6.902990722,0.852657973,0.568326795,2940,1.5,0.643970452,-0.439095077,BVTR,BV,TR,0.87854976,0.876019547,0.000929735,4.98947086839034e-05,1.29283348617748e-23,FALSE
453,9/22/2024 10:46,9/22/2024 11:50,8.455392852,8.455392852,0.984800121,0,3840,1.5,0.657258334,-0.507339562,DLFB,DL,FB,0.763279836,0.759522373,0.001080788,7.5830885314421e-05,2.21598199720239e-21,FALSE
457,9/22/2024 13:12,9/22/2024 14:11,-2.199101599,-6.329031764,0.84704658,0,3540,1.5,0.286014703,-0.285943533,DLTR,DL,TR,0.247056549,0.233847015,-0.000287817,6.65522355528788e-05,6.21261484924397e-05,TRUE
462,11/11/2024 8:57,11/11/2024 9:55,9.028103,37.16704541,0.891838852,1.115633,3480,1.5,2.936466235,-2.837323592,BVFB,BV,FB,0.370633639,0.359592124,0.005399748,0.000931999,3.12351632570969e-07,FALSE
467,11/11/2024 12:16,11/11/2024 13:16,2.902439,11.3649865,0.822358103,0,3600,1.5,1.489716647,-1.185911695,BVTR,BV,TR,0.845886939,0.843274853,0.001362238,7.56990774881736e-05,1.23308632175881e-25,FALSE
472,11/12/2024 9:39,11/12/2024 10:37,-1.994774,33.22817527,0.980187011,0,3480,1.5,0.913624575,-1.022958926,DLFB,DL,FB,0.253062326,0.239958157,-0.001237786,0.000281667,4.8923002831713e-05,TRUE
477,11/12/2024 12:20,11/12/2024 13:26,1.190589,0.786538688,0.498588361,1.0706583,3960,1.5,0.491841733,-0.414457594,DLTR,DL,TR,0.311830453,0.301243229,0.000471491,8.68770508097017e-05,9.09168317828504e-07,FALSE
482,11/13/2024 11:47,11/13/2024 13:16,-1.108078,-14.09779103,0.991178186,0,5340,1.5,0.479597106,-0.520172025,DTFB,DT,FB,0.554733425,0.549673578,-0.00048515,4.63342945603877e-05,3.90763930415801e-17,TRUE
487,11/14/2024 11:25,11/14/2024 12:34,3.16553199586433e-16,3.16553199586433e-16,0.510158642,0,4140,1.5,0,0,CGFB,CG,FB,0.508745755,0.501521428,3.73794456837676e-20,2.15810330276822e-20,0.087798635,FALSE
