ID,Date,station,depth_m,temp_c,do_mg_l,chl_a_ug_l,pH,turb_ntu,cond_uS,,Filename,Time_approx,,
1,11/7/2022,BNFB,0.2,12.83,10.61,1.22,7.4,14.1,142.1,,BVFB20221107,,,
2,11/7/2022,BNTR,0.2,18.81,9.8,1.27,7.45,5.5,141.27,,BVTR20221107,,,
4,11/9/2022,CGFB,0,7.46,8.72,1.27,6.82,0,44.2,,CGFB20221109,,,
5,11/9/2022,CGFB,5.01,7.22,11.47,1.51,6.71,0,42.6,,CGFB20221109,,,
6,11/9/2022,CGFB,10.29,6.71,9.89,0.7,6.62,0,41.7,,CGFB20221109,,,
7,11/9/2022,CGFB,20.66,5.56,8.35,0.25,6.62,0,38.1,,CGFB20221109,,,
8,11/9/2022,CGFB,29.16,5.29,7.32,0.25,6.6,0,40,,CGFB20221109,,,
9,11/9/2022,CGFB,40.79,5.08,7.5,0.21,6.59,0,42,,CGFB20221109,,,
10,11/9/2022,CGFB,47.94,5.02,6.76,0.25,6.58,0,42.9,,CGFB20221109,,,
11,11/9/2022,CGFB,60,5,7.57,0.27,6.41,0,44,,,,,
12,11/10/2022,CGTR,0,7.39,9.65,1.19,6.71,0,44.9,,DTTR20221110,,,
14,11/11/2022,DLFB,0,11.8,11.74,1.62,7.52,0,155.5,,DLFB20221111,,,
15,11/11/2022,DLTR,0,11.8,11.74,1.46,7.65,12.9,155.9,,DLTR20221111,,,
17,11/10/2022,DTFB,0,12.07,13.92,0.49,6.78,0,43.5,,DTFB20221110,,,
18,11/10/2022,DTFB,5.02,12.01,11.57,1.36,6.83,0,43.3,,DTFB20221110,,,
19,11/10/2022,DTFB,10.51,11.99,12.15,1.26,6.81,0,43.6,,DTFB20221110,,,
20,11/10/2022,DTFB,20.55,11.65,12.81,1.14,6.79,3.3,42,,DTFB20221110,,,
21,11/10/2022,DTFB,30.33,11.18,13.04,0.82,6.82,5.1,40.8,,DTFB20221110,,,
22,11/10/2022,DTFB,40.1,10.93,14.91,0.85,6.79,0,40.8,,DTFB20221110,,,
23,11/10/2022,DTFB,48.51,10.76,15.73,0.78,6.78,0.1,41.3,,DTFB20221110,,,
24,11/10/2022,DTFB,79,,,,,,,,,,,
25,11/10/2022,DTTR,0,10.78,15.54,1.5,6.92,160,40,,DTTR20221110,,,
26,11/10/2022,DTBC,0,11.03,15.2,0.9,6.97,0,39.8,,DTVC20221110,,,
28,1/12/2023,CGFB,0,4.94,11.89,0.57,6.81,0,45.6,y,CGFB20230112,13:00,,
29,1/12/2023,CGFB,47.62,4.04,10.92,0.29,6.66,0,42.5,y,CGFB20230112,13:00,,
30,1/12/2023,CGFB,40.5,4.1,11.25,0.37,6.67,0,41.1,y,CGFB20230112,13:00,,
31,1/12/2023,CGFB,30.25,4.19,11.11,0.38,6.67,0,40.4,y,CGFB20230112,13:00,,
