agency,station_id,datetime,timezone,Pres_Air_Inst_1Hour_USGS_mm_hg,
USGS,14105700,10/31/22 23:00,PDT,754,A
USGS,14105700,11/1/22 0:00,PDT,753,A
USGS,14105700,11/1/22 1:00,PDT,753,A
USGS,14105700,11/1/22 2:00,PDT,752,A
USGS,14105700,11/1/22 3:00,PDT,752,A
USGS,14105700,11/1/22 4:00,PDT,752,A
USGS,14105700,11/1/22 5:00,PDT,751,A
USGS,14105700,11/1/22 6:00,PDT,751,A
USGS,14105700,11/1/22 7:00,PDT,751,A
USGS,14105700,11/1/22 8:00,PDT,751,A
USGS,14105700,11/1/22 9:00,PDT,751,A
USGS,14105700,11/1/22 10:00,PDT,751,A
USGS,14105700,11/1/22 11:00,PDT,751,A
USGS,14105700,11/1/22 12:00,PDT,751,A
USGS,14105700,11/1/22 13:00,PDT,751,A
USGS,14105700,11/1/22 14:00,PDT,751,A
USGS,14105700,11/1/22 15:00,PDT,751,A
USGS,14105700,11/1/22 16:00,PDT,751,A
USGS,14105700,11/1/22 17:00,PDT,751,A
USGS,14105700,11/1/22 18:00,PDT,751,A
USGS,14105700,11/1/22 19:00,PDT,752,A
USGS,14105700,11/1/22 20:00,PDT,752,A
USGS,14105700,11/1/22 21:00,PDT,752,A
USGS,14105700,11/1/22 22:00,PDT,753,A
USGS,14105700,11/1/22 23:00,PDT,753,A
USGS,14105700,11/2/22 0:00,PDT,753,A
USGS,14105700,11/2/22 1:00,PDT,753,A
USGS,14105700,11/2/22 2:00,PDT,754,A
USGS,14105700,11/2/22 3:00,PDT,755,A
USGS,14105700,11/2/22 4:00,PDT,755,A
USGS,14105700,11/2/22 5:00,PDT,755,A
USGS,14105700,11/2/22 6:00,PDT,756,A
USGS,14105700,11/2/22 7:00,PDT,756,A
USGS,14105700,11/2/22 8:00,PDT,756,A
USGS,14105700,11/2/22 9:00,PDT,757,A
USGS,14105700,11/2/22 10:00,PDT,758,A
USGS,14105700,11/2/22 11:00,PDT,758,A
USGS,14105700,11/2/22 12:00,PDT,758,A
USGS,14105700,11/2/22 13:00,PDT,758,A
USGS,14105700,11/2/22 14:00,PDT,758,A
USGS,14105700,11/2/22 15:00,PDT,759,A
USGS,14105700,11/2/22 16:00,PDT,759,A
USGS,14105700,11/2/22 17:00,PDT,760,A
USGS,14105700,11/2/22 18:00,PDT,760,A
USGS,14105700,11/2/22 19:00,PDT,761,A
USGS,14105700,11/2/22 20:00,PDT,762,A
USGS,14105700,11/2/22 21:00,PDT,762,A
USGS,14105700,11/2/22 22:00,PDT,763,A
USGS,14105700,11/2/22 23:00,PDT,763,A
USGS,14105700,11/3/22 0:00,PDT,763,A
USGS,14105700,11/3/22 1:00,PDT,764,A
USGS,14105700,11/3/22 2:00,PDT,764,A
USGS,14105700,11/3/22 3:00,PDT,764,A
USGS,14105700,11/3/22 4:00,PDT,765,A
USGS,14105700,11/3/22 5:00,PDT,765,A
USGS,14105700,11/3/22 6:00,PDT,765,A
USGS,14105700,11/3/22 7:00,PDT,765,A
USGS,14105700,11/3/22 8:00,PDT,766,A
USGS,14105700,11/3/22 9:00,PDT,767,A
USGS,14105700,11/3/22 10:00,PDT,766,A
USGS,14105700,11/3/22 11:00,PDT,766,A
USGS,14105700,11/3/22 12:00,PDT,766,A
USGS,14105700,11/3/22 13:00,PDT,765,A
USGS,14105700,11/3/22 14:00,PDT,765,A
USGS,14105700,11/3/22 15:00,PDT,765,A
USGS,14105700,11/3/22 16:00,PDT,764,A
USGS,14105700,11/3/22 17:00,PDT,764,A
USGS,14105700,11/3/22 18:00,PDT,763,A
USGS,14105700,11/3/22 19:00,PDT,763,A
USGS,14105700,11/3/22 20:00,PDT,763,A
USGS,14105700,11/3/22 21:00,PDT,762,A
USGS,14105700,11/3/22 22:00,PDT,762,A
USGS,14105700,11/3/22 23:00,PDT,762,A
USGS,14105700,11/4/22 0:00,PDT,761,A
USGS,14105700,11/4/22 1:00,PDT,760,A
USGS,14105700,11/4/22 2:00,PDT,760,A
USGS,14105700,11/4/22 3:00,PDT,759,A
USGS,14105700,11/4/22 4:00,PDT,758,A
USGS,14105700,11/4/22 5:00,PDT,757,A
USGS,14105700,11/4/22 6:00,PDT,756,A
USGS,14105700,11/4/22 7:00,PDT,756,A
USGS,14105700,11/4/22 8:00,PDT,756,A
USGS,14105700,11/4/22 9:00,PDT,755,A
USGS,14105700,11/4/22 10:00,PDT,755,A
USGS,14105700,11/4/22 11:00,PDT,754,A
USGS,14105700,11/4/22 12:00,PDT,754,A
USGS,14105700,11/4/22 13:00,PDT,753,A
USGS,14105700,11/4/22 14:00,PDT,753,A
USGS,14105700,11/4/22 15:00,PDT,752,A
USGS,14105700,11/4/22 16:00,PDT,752,A
