datetime,surface_pressure_hPa
11/1/2022 0:00,953.8
11/1/2022 1:00,953.3
11/1/2022 2:00,953.2
11/1/2022 3:00,952.9
11/1/2022 4:00,952.3
11/1/2022 5:00,951.7
11/1/2022 6:00,950.9
11/1/2022 7:00,950.4
11/1/2022 8:00,950.1
11/1/2022 9:00,949.4
11/1/2022 10:00,948.9
11/1/2022 11:00,948.4
11/1/2022 12:00,948.8
11/1/2022 13:00,948.3
11/1/2022 14:00,948.5
11/1/2022 15:00,948.4
11/1/2022 16:00,948.4
11/1/2022 17:00,948.6
11/1/2022 18:00,948.4
11/1/2022 19:00,948.4
11/1/2022 20:00,948.4
11/1/2022 21:00,948.1
11/1/2022 22:00,948
11/1/2022 23:00,948.2
11/2/2022 0:00,948.6
11/2/2022 1:00,948.8
11/2/2022 2:00,949.4
11/2/2022 3:00,949.6
11/2/2022 4:00,950
11/2/2022 5:00,950.3
11/2/2022 6:00,950.8
11/2/2022 7:00,951.1
11/2/2022 8:00,951.2
11/2/2022 9:00,952
11/2/2022 10:00,952.7
11/2/2022 11:00,953.1
11/2/2022 12:00,953.1
11/2/2022 13:00,953.7
11/2/2022 14:00,953.8
11/2/2022 15:00,954.4
11/2/2022 16:00,955.2
11/2/2022 17:00,955.5
11/2/2022 18:00,956.2
11/2/2022 19:00,956.4
11/2/2022 20:00,956.5
11/2/2022 21:00,956.4
11/2/2022 22:00,956.7
11/2/2022 23:00,957.1
11/3/2022 0:00,958.5
11/3/2022 1:00,959.2
11/3/2022 2:00,960.2
11/3/2022 3:00,960.8
11/3/2022 4:00,961.4
11/3/2022 5:00,962
11/3/2022 6:00,962.3
11/3/2022 7:00,962.8
11/3/2022 8:00,963.1
11/3/2022 9:00,963.6
11/3/2022 10:00,964
11/3/2022 11:00,964.1
11/3/2022 12:00,964.5
11/3/2022 13:00,964.9
11/3/2022 14:00,965.1
11/3/2022 15:00,965.4
11/3/2022 16:00,966.1
11/3/2022 17:00,966.5
11/3/2022 18:00,966.6
11/3/2022 19:00,966.2
11/3/2022 20:00,965.7
11/3/2022 21:00,965.6
11/3/2022 22:00,965.5
11/3/2022 23:00,964.4
11/4/2022 0:00,964.4
11/4/2022 1:00,964.1
11/4/2022 2:00,964
11/4/2022 3:00,963.6
11/4/2022 4:00,963
11/4/2022 5:00,962.3
11/4/2022 6:00,961.5
11/4/2022 7:00,960.8
11/4/2022 8:00,960.3
11/4/2022 9:00,960.2
11/4/2022 10:00,960
11/4/2022 11:00,959.5
11/4/2022 12:00,958.9
11/4/2022 13:00,958.5
11/4/2022 14:00,958.9
11/4/2022 15:00,958.5
11/4/2022 16:00,958.6
11/4/2022 17:00,958.9
11/4/2022 18:00,958.5
11/4/2022 19:00,958.2
11/4/2022 20:00,957.8
11/4/2022 21:00,956.6
11/4/2022 22:00,955.9
11/4/2022 23:00,955.4
11/5/2022 0:00,955
11/5/2022 1:00,954.5
11/5/2022 2:00,953.7
11/5/2022 3:00,952.7
11/5/2022 4:00,952.3
11/5/2022 5:00,951.2
11/5/2022 6:00,950.3
11/5/2022 7:00,949.3
11/5/2022 8:00,949.2
11/5/2022 9:00,950.1
11/5/2022 10:00,952.7
11/5/2022 11:00,954.1
11/5/2022 12:00,954.4
11/5/2022 13:00,955.1
11/5/2022 14:00,956.3
11/5/2022 15:00,957.1
11/5/2022 16:00,957.7
11/5/2022 17:00,958.3
11/5/2022 18:00,958.5
11/5/2022 19:00,958.6
11/5/2022 20:00,958.2
11/5/2022 21:00,957.9
11/5/2022 22:00,957.8
11/5/2022 23:00,958.1
11/6/2022 0:00,958.1
11/6/2022 1:00,957.6
11/6/2022 2:00,957.8
11/6/2022 3:00,958
11/6/2022 4:00,957.5
11/6/2022 5:00,956.7
11/6/2022 6:00,956.3
11/6/2022 7:00,955.3
11/6/2022 8:00,954.7
11/6/2022 9:00,953.8
11/6/2022 10:00,952.7
11/6/2022 11:00,951.9
11/6/2022 12:00,950.7
11/6/2022 13:00,949.3
11/6/2022 14:00,947.9
11/6/2022 15:00,946.7
11/6/2022 16:00,945.5
11/6/2022 17:00,945.1
11/6/2022 18:00,944.6
11/6/2022 19:00,943.9
11/6/2022 20:00,943.1
11/6/2022 21:00,942.1
11/6/2022 22:00,941.1
11/6/2022 23:00,940.2
11/7/2022 0:00,939.5
11/7/2022 1:00,938.7
11/7/2022 2:00,938.7
11/7/2022 3:00,938.5
11/7/2022 4:00,939
11/7/2022 5:00,939.6
11/7/2022 6:00,940.1
11/7/2022 7:00,940
11/7/2022 8:00,940.8
11/7/2022 9:00,941.1
11/7/2022 10:00,941.8
11/7/2022 11:00,942.5
11/7/2022 12:00,942.6
11/7/2022 13:00,942.8
11/7/2022 14:00,943.2
11/7/2022 15:00,943.6
11/7/2022 16:00,944.1
11/7/2022 17:00,944.5
11/7/2022 18:00,944.7
11/7/2022 19:00,945.4
11/7/2022 20:00,945.3
11/7/2022 21:00,945
11/7/2022 22:00,945.3
11/7/2022 23:00,946
11/8/2022 0:00,947.2
11/8/2022 1:00,947
11/8/2022 2:00,947
11/8/2022 3:00,946.3
11/8/2022 4:00,946.1
11/8/2022 5:00,945.9
11/8/2022 6:00,946.5
11/8/2022 7:00,946.4
11/8/2022 8:00,946.6
11/8/2022 9:00,946.3
11/8/2022 10:00,946.3
11/8/2022 11:00,946.6
11/8/2022 12:00,947.4
11/8/2022 13:00,947.6
11/8/2022 14:00,947.6
11/8/2022 15:00,947.4
11/8/2022 16:00,948.1
11/8/2022 17:00,949.2
11/8/2022 18:00,948.9
11/8/2022 19:00,947.9
11/8/2022 20:00,947.8
11/8/2022 21:00,947.1
11/8/2022 22:00,947.1
11/8/2022 23:00,947.5
11/9/2022 0:00,947.9
11/9/2022 1:00,947.9
11/9/2022 2:00,948.5
11/9/2022 3:00,949.4
11/9/2022 4:00,949.7
11/9/2022 5:00,950
11/9/2022 6:00,950
11/9/2022 7:00,949.9
11/9/2022 8:00,950.2
11/9/2022 9:00,950.5
11/9/2022 10:00,951
11/9/2022 11:00,951.6
11/9/2022 12:00,951.9
11/9/2022 13:00,953.1
11/9/2022 14:00,954.3
11/9/2022 15:00,955.3
11/9/2022 16:00,956.5
11/9/2022 17:00,957.9
11/9/2022 18:00,958.7
11/9/2022 19:00,959
11/9/2022 20:00,959.4
11/9/2022 21:00,959.9
11/9/2022 22:00,960.8
11/9/2022 23:00,961.7
11/10/2022 0:00,962.7
11/10/2022 1:00,963
11/10/2022 2:00,964
11/10/2022 3:00,964.5
11/10/2022 4:00,965.1
11/10/2022 5:00,965.4
11/10/2022 6:00,965.8
11/10/2022 7:00,966.2
11/10/2022 8:00,966.8
11/10/2022 9:00,967.1
11/10/2022 10:00,967.2
11/10/2022 11:00,967.4
11/10/2022 12:00,967.1
11/10/2022 13:00,967.6
11/10/2022 14:00,967.7
11/10/2022 15:00,968.5
11/10/2022 16:00,969
11/10/2022 17:00,969.2
11/10/2022 18:00,969.1
11/10/2022 19:00,968.7
11/10/2022 20:00,968.4
11/10/2022 21:00,967.6
11/10/2022 22:00,967.2
11/10/2022 23:00,966.6
11/11/2022 0:00,966
11/11/2022 1:00,965.4
11/11/2022 2:00,965.1
11/11/2022 3:00,964.7
11/11/2022 4:00,964.5
11/11/2022 5:00,964.1
11/11/2022 6:00,963.8
11/11/2022 7:00,963.4
11/11/2022 8:00,962.9
11/11/2022 9:00,962.2
11/11/2022 10:00,961.3
11/11/2022 11:00,960.7
11/11/2022 12:00,960.7
11/11/2022 13:00,960.7
11/11/2022 14:00,960.4
11/11/2022 15:00,960.1
11/11/2022 16:00,959.9
11/11/2022 17:00,959.4
11/11/2022 18:00,959.5
11/11/2022 19:00,958.8
11/11/2022 20:00,958
11/11/2022 21:00,957.6
11/11/2022 22:00,957.4
11/11/2022 23:00,958.2
11/12/2022 0:00,958.5
11/12/2022 1:00,959.2
11/12/2022 2:00,959.4
11/12/2022 3:00,959.5
11/12/2022 4:00,959.6
11/12/2022 5:00,959.5
11/12/2022 6:00,959.7
11/12/2022 7:00,959.8
11/12/2022 8:00,960.1
11/12/2022 9:00,960.2
11/12/2022 10:00,960
11/12/2022 11:00,960
11/12/2022 12:00,959.8
11/12/2022 13:00,960.5
11/12/2022 14:00,960.7
11/12/2022 15:00,961
11/12/2022 16:00,961.7
11/12/2022 17:00,962.4
11/12/2022 18:00,963
11/12/2022 19:00,962.7
11/12/2022 20:00,962.4
11/12/2022 21:00,962.4
11/12/2022 22:00,962.3
11/12/2022 23:00,962.7
11/13/2022 0:00,962.9
11/13/2022 1:00,963
11/13/2022 2:00,963.4
11/13/2022 3:00,963.8
11/13/2022 4:00,964
11/13/2022 5:00,964.7
11/13/2022 6:00,965
11/13/2022 7:00,965.3
11/13/2022 8:00,965.3
11/13/2022 9:00,965.5
11/13/2022 10:00,965.4
11/13/2022 11:00,965.6
11/13/2022 12:00,965.9
11/13/2022 13:00,966.1
11/13/2022 14:00,966.3
11/13/2022 15:00,966.3
11/13/2022 16:00,966.8
11/13/2022 17:00,967
11/13/2022 18:00,967.2
11/13/2022 19:00,967.1
