Date Time,DET.Elev-Forebay.Inst.0.0.Best [FT]
2022-10-30 00:00:00,1480.74
2022-10-30 00:15:00,1480.7
2022-10-30 00:30:00,1480.65
2022-10-30 00:45:00,1480.61
2022-10-30 01:00:00,1480.56
2022-10-30 01:15:00,1480.52
2022-10-30 01:30:00,1480.48
2022-10-30 01:35:00,1480.59
2022-10-30 01:45:00,1480.44
2022-10-30 02:00:00,1480.39
2022-10-30 02:15:00,1480.35
2022-10-30 02:30:00,1480.3
2022-10-30 02:35:00,1480.43
2022-10-30 02:45:00,1480.26
2022-10-30 03:00:00,1480.21
2022-10-30 03:15:00,1480.16
2022-10-30 03:30:00,1480.13
2022-10-30 03:35:00,1480.24
2022-10-30 03:45:00,1480.08
2022-10-30 04:00:00,1480.02
2022-10-30 04:15:00,1479.98
2022-10-30 04:30:00,1479.93
2022-10-30 04:35:00,1480.06
2022-10-30 04:45:00,1479.9
2022-10-30 05:00:00,1479.85
2022-10-30 05:15:00,1479.79
2022-10-30 05:30:00,1479.76
2022-10-30 05:35:00,1479.88
2022-10-30 05:45:00,1479.72
2022-10-30 06:00:00,1479.68
2022-10-30 06:15:00,1479.63
2022-10-30 06:30:00,1479.58
2022-10-30 06:35:00,1479.7
2022-10-30 06:45:00,1479.54
2022-10-30 07:00:00,1479.5
2022-10-30 07:15:00,1479.44
2022-10-30 07:30:00,1479.4
2022-10-30 07:35:00,1479.52
2022-10-30 07:45:00,1479.36
2022-10-30 08:00:00,1479.32
2022-10-30 08:15:00,1479.27
2022-10-30 08:30:00,1479.22
2022-10-30 08:35:00,1479.35
2022-10-30 08:45:00,1479.17
2022-10-30 09:00:00,1479.14
2022-10-30 09:15:00,1479.09
2022-10-30 09:30:00,1479.04
2022-10-30 09:35:00,1479.16
2022-10-30 09:45:00,1479
2022-10-30 10:00:00,1478.96
2022-10-30 10:15:00,1478.91
2022-10-30 10:30:00,1478.86
2022-10-30 10:35:00,1478.99
2022-10-30 10:45:00,1478.81
2022-10-30 11:00:00,1478.77
2022-10-30 11:15:00,1478.73
2022-10-30 11:30:00,1478.68
2022-10-30 11:45:00,1478.63
2022-10-30 12:00:00,1478.58
2022-10-30 12:15:00,1478.54
2022-10-30 12:30:00,1478.5
2022-10-30 12:45:00,1478.45
2022-10-30 13:00:00,1478.4
2022-10-30 13:15:00,1478.36
2022-10-30 13:30:00,1478.32
2022-10-30 13:45:00,1478.28
2022-10-30 14:00:00,1478.22
2022-10-30 14:15:00,1478.18
2022-10-30 14:30:00,1478.15
2022-10-30 14:35:00,1478.25
2022-10-30 14:45:00,1478.1
2022-10-30 15:00:00,1478.06
2022-10-30 15:15:00,1478
2022-10-30 15:30:00,1477.95
2022-10-30 15:35:00,1478.07
2022-10-30 15:45:00,1477.91
2022-10-30 16:00:00,1477.87
2022-10-30 16:15:00,1477.82
2022-10-30 16:30:00,1477.77
2022-10-30 16:35:00,1477.88
2022-10-30 16:45:00,1477.72
2022-10-30 17:00:00,1477.68
2022-10-30 17:15:00,1477.63
2022-10-30 17:30:00,1477.6
2022-10-30 17:45:00,1477.54
2022-10-30 18:00:00,1477.5
2022-10-30 18:15:00,1477.46
2022-10-30 18:30:00,1477.41
2022-10-30 18:35:00,1477.53
2022-10-30 18:45:00,1477.36
2022-10-30 19:00:00,1477.32
2022-10-30 19:15:00,1477.27
2022-10-30 19:30:00,1477.23
2022-10-30 19:35:00,1477.35
2022-10-30 19:45:00,1477.18
2022-10-30 20:00:00,1477.14
2022-10-30 20:15:00,1477.1
2022-10-30 20:30:00,1477.05
2022-10-30 20:35:00,1477.18
2022-10-30 20:45:00,1477.01
2022-10-30 21:00:00,1476.96
2022-10-30 21:15:00,1476.91
2022-10-30 21:30:00,1476.88
2022-10-30 21:35:00,1476.99
2022-10-30 21:45:00,1476.82
2022-10-30 22:00:00,1476.77
2022-10-30 22:15:00,1476.73
2022-10-30 22:30:00,1476.68
2022-10-30 22:35:00,1476.81
2022-10-30 22:45:00,1476.64
2022-10-30 23:00:00,1476.6
2022-10-30 23:15:00,1476.55
