Date.Time,stage.ht.dl,agency,station_id,timezone,Pres_Air_Inst_1Hour_USGS_mm_hg,X,bar_press_ft_h2o,total_pressure_ft_h2o.dl,total_pressure_m_h2o.dl,del.tot.pressure.ft.hr.dl,moving.minima,hours.since.lower.pressure,days.since.lower.pressure,moving.minima.y.n,moving.minima.48hrs.prior.y.n,more.than.one.day.since.lower.pressure.y.n,more.than.one.day.since.lower.pressure.event.last.2.days.y.n
2022-11-02 00:00:00,158.37,USGS,14105700,PDT,753,A,33.58632011,191.9563201,58.50828637,NA,NA,NA,NA,N,N,N,N
2022-11-02 01:00:00,158.45,USGS,14105700,PDT,753,A,33.58632011,192.0363201,58.53267037,0.08,NA,NA,NA,Y,Y,N,N
2022-11-02 02:00:00,158.37,USGS,14105700,PDT,754,A,33.63092345,192.0009235,58.52188147,-0.035396653,NA,2,0.083333333,N,N,N,N
2022-11-02 03:00:00,158.44,USGS,14105700,PDT,755,A,33.6755268,192.1155268,58.55681257,0.114603347,NA,NA,NA,Y,Y,N,N
2022-11-02 04:00:00,158.4,USGS,14105700,PDT,755,A,33.6755268,192.0755268,58.54462057,-0.04,NA,2,0.083333333,N,N,N,N
2022-11-02 05:00:00,158.37,USGS,14105700,PDT,755,A,33.6755268,192.0455268,58.53547657,-0.03,NA,3,0.125,N,N,N,N
2022-11-02 06:00:00,158.38,USGS,14105700,PDT,756,A,33.72013015,192.1001301,58.55211967,0.054603347,NA,NA,NA,N,N,N,N
2022-11-02 07:00:00,158.57,USGS,14105700,PDT,756,A,33.72013015,192.2901301,58.61003167,0.19,NA,NA,NA,N,N,N,N
2022-11-02 08:00:00,158.55,USGS,14105700,PDT,756,A,33.72013015,192.2701301,58.60393567,-0.02,NA,2,0.083333333,N,N,N,N
2022-11-02 09:00:00,158.57,USGS,14105700,PDT,757,A,33.76473349,192.3347335,58.62362677,0.064603347,NA,NA,NA,N,N,N,N
2022-11-02 10:00:00,158.59,USGS,14105700,PDT,758,A,33.80933684,192.3993368,58.64331787,0.064603347,NA,NA,NA,N,N,N,N
2022-11-02 11:00:00,158.62,USGS,14105700,PDT,758,A,33.80933684,192.4293368,58.65246187,0.03,NA,NA,NA,N,N,N,N
2022-11-02 12:00:00,158.59,USGS,14105700,PDT,758,A,33.80933684,192.3993368,58.64331787,-0.03,NA,2,0.083333333,N,N,N,N
2022-11-02 13:00:00,158.63,USGS,14105700,PDT,758,A,33.80933684,192.4393368,58.65550987,0.04,NA,NA,NA,Y,Y,N,N
2022-11-02 14:00:00,158.6,USGS,14105700,PDT,758,A,33.80933684,192.4093368,58.64636587,-0.03,NA,2,0.083333333,N,N,N,N
2022-11-02 15:00:00,158.67,USGS,14105700,PDT,759,A,33.85394019,192.5239402,58.68129697,0.114603347,NA,NA,NA,Y,Y,N,N
2022-11-02 16:00:00,158.62,USGS,14105700,PDT,759,A,33.85394019,192.4739402,58.66605697,-0.05,NA,2,0.083333333,Y,Y,N,N
2022-11-02 17:00:00,158.77,USGS,14105700,PDT,760,A,33.89854353,192.6685435,58.72537207,0.194603347,NA,NA,NA,N,N,N,N
2022-11-02 18:00:00,158.77,USGS,14105700,PDT,760,A,33.89854353,192.6685435,58.72537207,0,NA,NA,NA,N,N,N,N
2022-11-02 19:00:00,158.81,USGS,14105700,PDT,761,A,33.94314688,192.7531469,58.75115917,0.084603347,NA,NA,NA,N,N,N,N
2022-11-02 20:00:00,158.75,USGS,14105700,PDT,762,A,33.98775023,192.7377502,58.74646627,-0.015396653,NA,2,0.083333333,N,N,N,N
2022-11-02 21:00:00,158.72,USGS,14105700,PDT,762,A,33.98775023,192.7077502,58.73732227,-0.03,NA,3,0.125,N,N,N,N
2022-11-02 22:00:00,158.66,USGS,14105700,PDT,763,A,34.03235357,192.6923536,58.73262937,-0.015396653,NA,4,0.166666667,N,N,N,N
2022-11-02 23:00:00,158.63,USGS,14105700,PDT,763,A,34.03235357,192.6623536,58.72348537,-0.03,NA,5,0.208333333,N,N,N,N
2022-11-03 00:00:00,158.48,USGS,14105700,PDT,763,A,34.03235357,192.5123536,58.67776537,-0.15,NA,6,0.25,N,N,N,N
2022-11-03 01:00:00,158.59,USGS,14105700,PDT,764,A,34.07695692,192.6669569,58.72488847,0.154603347,NA,NA,NA,N,N,N,N
2022-11-03 02:00:00,158.55,USGS,14105700,PDT,764,A,34.07695692,192.6269569,58.71269647,-0.04,NA,2,0.083333333,Y,Y,N,N
2022-11-03 03:00:00,158.62,USGS,14105700,PDT,764,A,34.07695692,192.6969569,58.73403247,0.07,NA,NA,NA,Y,Y,N,N
2022-11-03 04:00:00,158.7,USGS,14105700,PDT,765,A,34.12156027,192.8215603,58.77201157,0.124603347,NA,NA,NA,Y,Y,N,N
